id,premises_name,legal_entity,address,town,region
masterton-medical-pharmacy-limited-wairarapa,Masterton Medical Pharmacy Limited,Masterton Medical Pharmacy Limited,"4A Colombo Road Lansdowne Masterton 5810, Wairarapa",Wairarapa,Central | Te Ikaroa
maungaraki-pharmacy-capital-coast-and-hutt-valley,Maungaraki Pharmacy,Hutt South Pharmacies (Maungaraki) Limited,"169 Dowse Drive Maungaraki Lower Hutt 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
mazengarb-pharmacy-capital-coast-and-hutt-valley,Mazengarb Pharmacy,Ma Belle Helene Limited,"240 Mazengarb Road PARAPARAUMU 6450, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
milson-pharmacy-midcentral,Milson Pharmacy,Milson Pharmacy Limited,"Shop 7, 91 Milson Line, Milson, Palmerston North, 4414, MidCentral",MidCentral,Central | Te Ikaroa
moera-pharmacy-capital-coast-and-hutt-valley,Moera Pharmacy,Moera Pharmacy (2017) Limited,"139 Randwick Road Moera Lower Hutt 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
naenae-pharmacy-capital-coast-and-hutt-valley,Naenae Pharmacy,Pharmacy Solutions (2022) Limited,"29 Hillary Court Naenae Lower Hutt 5011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
napier-balmoral-pharmacy-hawke-s-bay,Napier Balmoral Pharmacy,Taradale Pharmacy Limited,"25 Munroe Street, Napier South, Napier, 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
napier-pharmacy-hawke-s-bay,Napier Pharmacy,Kokoru Pharmacy Group Limited,"70 Wellesley Road Napier South Napier 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
newlands-pharmacy-capital-coast-and-hutt-valley,Newlands Pharmacy,Avalon Medical Centre Pharmacy Limited,"Shop 8, 33 McMillan Court Newlands Wellington 6037, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
newtown-medical-centre-dispensary-capital-coast-and-hutt-valley,Newtown Medical Centre Dispensary,Newtown Medical Centre Pharmacy Limited,"33 Rintoul Street Newtown Wellington 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
onslow-pharmacy-capital-coast-and-hutt-valley,Onslow Pharmacy,Pharmacy Solutions (2022) Limited,"125 Moorefield Road Johnsonville Wellington 6037, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
otaki-pharmacy-midcentral,Otaki Pharmacy,Otaki Pharmacy (2025) Limited,"80 Main Street, Otaki, 5512, MidCentral",MidCentral,Central | Te Ikaroa
owles-pharmacy-capital-coast-and-hutt-valley,Owles Pharmacy,Pharmacy Solutions (2022) Limited,"45-47 Everest Avenue Naenae Lower Hutt 5011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
pahiatua-pharmacy-wairarapa,Pahiatua Pharmacy,ECMS Investment Limited,"123 Main Street, Pahiatua, 4910, Wairarapa",Wairarapa,Central | Te Ikaroa
paraparaumu-beach-pharmacy-capital-coast-and-hutt-valley,Paraparaumu Beach Pharmacy,Bowman Pharmacy Services Limited,"Shop 1, 17 Seaview Road Paraparaumu Beach Paraparaumu 5032, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
parkvale-pharmacy-hawke-s-bay,Parkvale Pharmacy,Paul Messerschmidt Limited,"3/800 St Aubyn Street East HASTINGS 4122, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
peak-pharmacy-hawke-s-bay,Peak Pharmacy,Peak Pharmacy Limited,"33 - 35 Napier Road HAVELOCK NORTH 4130, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
pharmacy-145-on-victoria-whanganui,Pharmacy 145 On Victoria,Lumen LHM Limited,"145 Victoria Avenue Whanganui 4500, Whanganui",Whanganui,Central | Te Ikaroa
pharmacy-over-east-whanganui,Pharmacy Over East,McKibben and Glentworth Limited,"71 Moana Street Whanganui East Whanganui 4500, Whanganui",Whanganui,Central | Te Ikaroa
platt-s-pharmacy-whanganui,Platt's Pharmacy,Platts Pharmacy 2016 Limited,"69 High Street Bulls 4818, Whanganui",Whanganui,Central | Te Ikaroa
porirua-pharmacy-capital-coast-and-hutt-valley,Porirua Pharmacy,Porirua Pharmacy (2018) Limited,"Shop 3, 18 Mungavin Avenue Ranui Porirua 5024, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
queen-street-pharmacy-limited-capital-coast-and-hutt-valley,Queen Street Pharmacy Limited,Queen Street Pharmacy Limited,"35 Queen Street Upper Hutt 5018, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
raumati-road-pharmacy-capital-coast-and-hutt-valley,Raumati Road Pharmacy,Wellington Associated Pharmacists Limited,"Ground Floor, 18 Raumati Road Raumati Beach Paraparaumu 5032, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
raureka-pharmacy-hawke-s-bay,Raureka Pharmacy,APS Pharmacy Limited,"901 Gordon Road Raureka Hastings 4120, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
ropata-pharmacy-capital-coast-and-hutt-valley,Ropata Pharmacy,Pharmacy Solutions (2022) Limited,"577 High Street Boulcott Lower Hutt 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
silverstream-pharmacy-limited-capital-coast-and-hutt-valley,Silverstream Pharmacy Limited,Silverstream Pharmacy Limited,"Shop 11, Silverstream Village Whitemans Road Silverstream UPPER HUTT 5019, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
sophia-pharmacy-hawke-s-bay,Sophia Pharmacy,Nicola Jane Parkes,"Suite 107, 201 King Street North Hastings 4122, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
st-johns-pharmacy-whanganui,St Johns Pharmacy,St Johns Pharmacy (2024) Limited,"13B Great North Road Saint Johns Hill Whanganui 4501, Whanganui",Whanganui,Central | Te Ikaroa
steeds-pharmacy-midcentral,Steeds Pharmacy,Natural Health Chemist Limited,"244 Oxford Street Levin 5510, MidCentral",MidCentral,Central | Te Ikaroa
strathmore-park-pharmacy-capital-coast-and-hutt-valley,Strathmore Park Pharmacy,Capital Care Pharmacy Limited,"Unit B, 504 Broadway Strathmore Park Wellington 6022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
taihape-pharmacy-whanganui,Taihape Pharmacy,Choice Mission Company Limited,"85 Hautapu Street TAIHAPE 4720, Whanganui",Whanganui,Central | Te Ikaroa
taita-pharmacy-2016-limited-capital-coast-and-hutt-valley,Taita Pharmacy 2016 Limited,Taita Pharmacy 2016 Limited,"1206 High Street Taita LOWER HUTT 5011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
taiwhenua-pharmacy-hawke-s-bay,Taiwhenua Pharmacy,Amana Healthcare Limited,"821 Orchard Road Camberley Hastings 4120, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
tamatea-pharmacy-hawke-s-bay,Tamatea Pharmacy,Brady Pharmacy Limited,"Shop 7 & 8, 7 Leicester Avenue Tamatea Napier 4112, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
taradale-medical-pharmacy-hawke-s-bay,Taradale Medical Pharmacy,Taradale Pharmacy Limited,"20 - 24 Puketapu Road Taradale Napier 4112, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
the-pharmacy-the-hastings-health-centre-hawke-s-bay,The Pharmacy @ The Hastings Health Centre,The Pharmacy at The Hastings Health Centre Limited,"The Hastings Health Centre 303 St Aubyn Street West Hastings 4122, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
titahi-bay-pharmacy-capital-coast-and-hutt-valley,Titahi Bay Pharmacy,Titahi Bay Pharmacy Limited,"24 Whitehouse Road Titahi Bay Porirua 5022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-awapuni-pharmacy-midcentral,Unichem Awapuni Pharmacy,Manawatu Pharmacies Limited,"96 College Street Awapuni PALMERSTON NORTH 4412, MidCentral",MidCentral,Central | Te Ikaroa
unichem-brooklyn-pharmacy-capital-coast-and-hutt-valley,Unichem Brooklyn Pharmacy,NST Investments Limited,"Shop 2, 3 & 4/67 Cleveland Street Brooklyn Wellington 6021, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-chemist-shop-midcentral,Unichem Chemist Shop,Whytes Pharmacy (2007) Limited,"27 Linton Street Palmerston North 4410, MidCentral",MidCentral,Central | Te Ikaroa
unichem-cuba-mall-pharmacy-capital-coast-and-hutt-valley,Unichem Cuba Mall Pharmacy,Harbour City Pharmacy (2011) Limited,"120 Cuba Street, Te Aro, Wellington, 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-havelock-north-hawke-s-bay,Unichem Havelock North,Unichem Havelock North Limited,"10 Napier Road Havelock North Hastings 4130, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
unichem-island-bay-pharmacy-capital-coast-and-hutt-valley,Unichem Island Bay Pharmacy,Hutt Valley Pharmacies 2014 Limited,"141 The Parade, Island Bay, Wellington, 6023, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-johnsonville-pharmacy-capital-coast-and-hutt-valley,Unichem Johnsonville Pharmacy,Johnsonville Chemists Limited,"59 Johnsonville Road Johnsonville Wellington 6037, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-karori-mall-pharmacy-capital-coast-and-hutt-valley,Unichem Karori Mall Pharmacy,Karori Pharmacies (2020) Limited,"Shop 6, 250 Karori Road, Karori, Wellington, 6012, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
unichem-kauri-healthcare-pharmacy-midcentral,Unichem Kauri Healthcare Pharmacy,Kauri Health Pharmacy Limited,"619 Featherston Street, Roslyn, Palmerston North, 4414, MidCentral",MidCentral,Central | Te Ikaroa
unichem-kilbirnie-pharmacy-capital-coast-and-hutt-valley,Unichem Kilbirnie Pharmacy,Waikanae Pharmacy 2012 Limited,"37 Bay Road Kilbirnie Wellington 6022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
